satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;promotion_last_5years;sales;salary;left
00.38;00.53;2;157;3;0;0;sales;low;1
00.08;0,059722222;5;262;6;0;0;sales;medium;1
00.11;0,061111111;7;272;4;0;0;sales;medium;1
0,05;0,060416667;5;223;5;0;0;sales;low;1
00.37;00.52;2;159;3;0;0;sales;low;1
00.41;00.05;2;153;3;0;0;sales;low;1
00.01;0,053472222;6;247;4;0;0;sales;low;1
0,063888889;0,059027778;5;259;5;0;0;sales;low;1
0,061805556;1;5;224;5;0;0;sales;low;1
00.42;00.53;2;142;3;0;0;sales;low;1
00.45;00.54;2;135;3;0;0;sales;low;1
00.11;0,05625;6;305;4;0;0;sales;low;1
0,058333333;0,063888889;4;234;5;0;0;sales;low;1
00.41;00.55;2;148;3;0;0;sales;low;1
00.36;00.56;2;137;3;0;0;sales;low;1
00.38;00.54;2;143;3;0;0;sales;low;1
00.45;00.47;2;160;3;0;0;sales;low;1
0,054166667;0,06875;4;255;6;0;0;sales;low;1
00.45;00.51;2;160;3;1;1;sales;low;1
0,052777778;0,061805556;5;262;5;0;0;sales;low;1
00.11;0,057638889;6;282;4;0;0;sales;low;1
00.38;00.55;2;147;3;0;0;sales;low;1
00.09;0,065972222;6;304;4;0;0;sales;low;1
00.46;00.57;2;139;3;0;0;sales;low;1
00.04;00.53;2;158;3;0;0;sales;low;1
0,061805556;0,063888889;5;242;5;0;0;sales;low;1
0,056944444;0,060416667;4;239;5;0;0;sales;low;1
00.04;00.49;2;135;3;0;0;sales;low;1
00.41;00.46;2;128;3;0;0;accounting;low;1
00.38;00.05;2;132;3;0;0;accounting;low;1
00.09;0,043055556;6;294;4;0;0;accounting;low;1
00.45;00.57;2;134;3;0;0;hr;low;1
00.04;00.51;2;145;3;0;0;hr;low;1
00.45;00.55;2;140;3;0;0;hr;low;1
0,058333333;0,060416667;4;246;6;0;0;hr;low;1
00.01;0,065277778;6;255;4;0;0;technical;low;1
00.38;00.46;2;137;3;0;0;technical;low;1
00.45;00.05;2;126;3;0;0;technical;low;1
00.11;0,061805556;6;306;4;0;0;technical;low;1
00.41;00.54;2;152;3;0;0;technical;low;1
0,060416667;0,061111111;5;269;5;0;0;technical;low;1
00.45;00.48;2;158;3;0;0;technical;low;1
00.04;00.46;2;127;3;0;0;technical;low;1
00.01;00.08;7;281;4;0;0;technical;low;1
00.09;0,061805556;6;276;4;0;0;technical;low;1
0,058333333;0,051388889;3;182;4;0;0;technical;low;1
00.04;00.55;2;147;3;0;0;support;low;1
00.57;00.07;3;273;6;0;0;support;low;1
00.04;00.54;2;148;3;0;0;support;low;1
00.43;00.47;2;147;3;0;0;support;low;1
00.13;0,054166667;6;152;2;0;0;support;low;1
00.44;00.55;2;135;3;0;0;support;low;1
00.38;00.55;2;134;3;0;0;support;low;1
00.39;00.54;2;132;3;0;0;support;low;1
00.01;0,063888889;7;307;4;0;0;support;low;1
00.37;00.46;2;140;3;0;0;support;low;1
00.11;0,065277778;7;255;4;0;0;support;low;1
00.01;0,05625;6;309;4;0;0;technical;low;1
00.38;00.54;2;128;3;0;0;technical;low;1
0,059027778;1;4;225;5;0;0;technical;low;1
0,059027778;0,063194444;5;226;5;0;0;management;medium;1
00.11;0,064583333;7;308;4;0;0;IT;medium;1
00.01;0,065972222;6;244;5;0;0;IT;medium;1
00.36;00.56;2;132;3;0;0;IT;medium;1
00.11;0,065277778;6;286;4;0;0;IT;medium;1
0,05625;00.07;6;161;4;0;0;IT;medium;1
00.43;00.54;2;153;3;0;0;product_mng;medium;1
00.09;0,068055556;4;264;6;0;0;product_mng;medium;1
0,052777778;0,059722222;5;223;5;1;0;product_mng;medium;1
00.43;00.05;2;135;3;0;0;product_mng;medium;1
0,051388889;0,06875;2;277;3;0;0;IT;medium;1
00.09;0,053472222;5;275;4;0;0;product_mng;medium;1
00.45;00.49;2;149;3;0;0;product_mng;high;1
00.09;0,060416667;7;295;4;0;0;product_mng;low;1
00.11;0,067361111;6;277;4;0;0;product_mng;medium;1
00.11;0,054861111;7;306;4;0;0;product_mng;medium;1
00.01;0,057638889;6;295;4;0;0;product_mng;medium;1
00.04;00.54;2;137;3;0;0;marketing;medium;1
00.43;00.56;2;157;3;0;0;sales;low;1
00.39;00.56;2;142;3;0;0;accounting;low;1
00.45;00.54;2;140;3;0;0;support;low;1
00.38;00.49;2;151;3;0;0;technical;low;1
0,054861111;00.59;4;139;3;0;1;management;low;1
0,058333333;0,059027778;4;249;6;0;0;marketing;low;1
00.11;0,053472222;6;291;4;0;0;marketing;low;1
00.11;0,060416667;6;305;4;0;0;marketing;low;1
00.17;0,058333333;5;232;3;0;0;sales;low;1
00.44;00.45;2;132;3;0;0;sales;low;1
00.37;00.57;2;130;3;0;0;sales;low;1
00.01;0,054861111;6;291;4;0;0;sales;low;1
00.04;00.05;2;130;3;0;0;sales;low;1
0,061805556;1;5;246;5;0;0;sales;low;1
00.42;00.48;2;143;3;0;0;sales;low;1
00.46;00.55;2;129;3;0;0;sales;low;1
00.09;0,057638889;6;255;4;0;0;sales;low;1
00.37;00.51;2;155;3;0;0;sales;low;1
00.01;0,053472222;6;265;4;0;0;sales;low;1
00.01;0,058333333;6;279;4;0;0;sales;low;1
00.11;0,067361111;6;284;4;0;0;sales;low;1
00.09;1;5;221;6;0;0;sales;medium;1
00.38;00.52;2;154;3;0;0;sales;medium;1
00.36;00.52;2;147;3;0;0;sales;medium;1
00.42;00.46;2;150;3;0;0;sales;medium;1
00.09;0,065277778;7;267;4;0;0;sales;medium;1
00.43;00.52;2;158;3;0;0;sales;medium;1
00.24;00.46;7;224;5;0;0;accounting;medium;1
0,063194444;1;4;257;5;0;0;accounting;medium;1
00.44;00.05;2;148;3;0;0;accounting;medium;1
0,049305556;0,060416667;3;177;4;0;0;hr;medium;1
00.04;00.49;2;155;3;0;0;hr;medium;1
00.43;00.47;2;144;3;0;0;hr;medium;1
00.09;0,059027778;6;289;4;0;0;hr;high;1
00.43;00.52;2;160;3;0;0;technical;low;1
00.09;0,066666667;4;258;5;0;0;technical;medium;1
0,058333333;1;5;234;5;0;0;technical;medium;1
00.37;00.48;2;137;3;0;0;technical;medium;1
0,059722222;0,047222222;5;263;2;0;0;technical;medium;1
00.11;0,058333333;6;251;4;0;0;technical;low;1
00.37;00.57;2;133;3;0;0;technical;low;1
00.04;00.46;2;132;3;0;0;technical;low;1
00.14;0,043055556;4;158;4;1;0;technical;low;1
00.04;00.46;2;135;3;0;0;technical;low;1
0,052083333;1;4;216;6;0;0;technical;low;1
00.11;0,058333333;6;300;5;1;0;support;low;1
00.46;00.49;2;138;3;0;0;support;low;1
00.11;0,063888889;6;260;4;0;0;support;low;1
00.38;00.49;2;132;3;0;0;support;low;1
00.07;0,061805556;3;183;5;0;0;support;low;1
00.09;0,056944444;6;250;4;0;0;support;low;1
00.37;00.45;2;151;3;0;0;support;low;1
00.01;0,057638889;6;292;4;0;0;support;low;1
00.38;00.57;2;140;3;0;0;support;low;1
00.09;1;5;221;5;0;0;support;low;1
00.44;00.51;2;138;3;0;0;support;low;1
00.36;00.05;2;132;3;0;0;technical;low;1
00.31;0,058333333;7;133;5;0;0;technical;low;1
00.01;0,058333333;6;283;4;1;0;technical;low;1
00.42;00.48;2;129;3;0;0;management;low;1
0,051388889;1;4;249;5;0;0;IT;low;1
0,050694444;0,060416667;5;257;5;0;0;IT;low;1
00.09;0,066666667;6;245;4;0;0;IT;low;1
00.45;00.53;2;155;3;0;0;IT;low;1
00.11;00.08;6;256;4;0;0;IT;low;1
00.37;00.47;2;152;3;0;0;product_mng;low;1
0,058333333;0,06875;4;267;5;0;0;product_mng;low;1
00.41;00.46;2;151;3;0;0;product_mng;low;1
0,052777778;0,063888889;4;239;5;0;0;product_mng;low;1
00.11;0,060416667;6;306;4;0;0;IT;low;1
0,058333333;0,061111111;4;263;5;1;0;marketing;low;1
00.39;00.05;2;147;3;0;0;marketing;low;1
00.11;0,063194444;6;278;4;0;0;marketing;low;1
00.45;00.56;2;154;3;0;0;marketing;low;1
00.37;00.52;2;143;3;0;0;marketing;low;1
00.04;00.52;2;155;3;0;0;marketing;low;1
00.39;00.48;2;160;3;0;0;sales;low;1
00.11;00.08;6;304;4;0;0;accounting;low;1
0,057638889;1;5;240;5;0;0;support;low;1
00.11;0,063888889;6;305;4;0;0;technical;low;1
00.39;00.05;2;136;3;0;0;management;low;1
00.45;00.45;2;132;3;0;0;marketing;low;1
00.01;0,065972222;7;301;4;0;0;marketing;low;1
00.09;0,068055556;5;243;6;0;0;marketing;low;1
00.45;00.51;2;147;3;0;0;sales;low;1
0,054861111;0,061805556;5;239;5;0;0;sales;low;1
00.09;0,06875;5;260;5;0;0;sales;low;1
00.11;0,058333333;7;296;4;0;0;sales;low;1
00.43;00.55;2;129;3;0;0;sales;low;1
00.31;00.54;5;132;5;0;0;sales;low;1
00.32;00.05;2;135;5;0;0;sales;low;1
00.45;00.57;2;158;3;0;0;sales;low;1
0,05625;0,06875;4;259;5;0;0;sales;low;1
00.41;00.46;2;160;3;0;1;sales;low;1
00.11;0,054166667;7;278;4;0;0;sales;low;1
00.01;0,061111111;6;284;4;0;0;sales;low;1
00.07;00.53;2;274;4;0;0;sales;low;1
00.54;0,051388889;4;164;2;0;0;sales;low;1
00.41;00.48;2;148;3;0;0;sales;low;1
00.38;00.05;2;140;3;0;0;sales;medium;1
00.37;00.51;2;127;3;0;0;sales;medium;1
00.11;0,059027778;6;308;5;0;0;sales;medium;1
00.04;00.47;2;146;3;0;0;sales;medium;1
00.01;0,058333333;6;261;4;0;0;accounting;medium;1
0,061805556;0,06875;5;257;5;0;0;accounting;medium;1
00.11;00.08;6;285;4;0;0;accounting;medium;1
00.36;00.55;2;141;3;0;0;hr;medium;1
00.04;00.46;2;127;3;0;0;hr;medium;1
00.09;0,059027778;6;297;4;0;0;hr;medium;1
00.04;00.46;2;143;3;0;0;hr;medium;1
00.37;00.55;2;152;3;0;0;technical;medium;1
00.44;00.51;2;156;3;0;0;technical;high;1
00.09;00.08;7;283;5;0;0;technical;low;1
0,063888889;0,060416667;4;226;6;1;0;technical;medium;1
0,051388889;0,063194444;4;232;5;0;0;technical;medium;1
00.09;0,056944444;6;249;4;0;0;technical;medium;1
0,061805556;0,065972222;4;275;5;0;0;technical;medium;1
00.09;00.08;6;304;4;0;0;technical;low;1
00.27;00.54;7;278;3;0;0;technical;low;1
00.01;0,063194444;6;287;4;0;0;technical;low;1
00.01;0,061805556;7;285;4;0;0;technical;low;1
0,053472222;0,065277778;5;226;6;0;0;support;low;1
00.09;0,056944444;5;259;5;0;0;support;low;1
00.39;00.05;2;135;3;0;0;support;low;1
0,052777778;1;5;219;5;0;0;support;low;1
00.01;0,064583333;6;256;4;0;0;support;low;1
0,060416667;00.09;5;254;6;0;0;support;low;1
00.38;00.05;2;153;3;0;0;support;low;1
0,053472222;0,06875;5;228;5;0;0;support;low;1
0,054166667;0,060416667;4;228;5;0;0;support;low;1
00.44;00.05;2;128;3;0;0;support;low;1
00.38;00.52;2;153;3;0;0;support;low;1
00.43;00.46;2;156;3;0;0;technical;low;1
00.39;00.05;4;294;3;0;0;technical;low;1
0,061111111;1;5;219;5;0;0;technical;low;1
00.45;00.46;2;153;3;0;0;management;low;1
00.04;00.53;2;151;3;0;0;IT;low;1
00.36;00.51;2;155;3;0;0;IT;low;1
00.36;00.48;2;158;3;0;0;IT;low;1
00.09;0,068055556;5;245;5;0;0;IT;low;1
00.43;00.53;2;131;3;0;0;IT;low;1
0,061805556;0,060416667;5;225;5;0;0;product_mng;low;1
00.01;0,058333333;6;286;4;0;0;product_mng;low;1
00.37;00.05;2;135;3;0;0;product_mng;low;1
00.37;00.51;2;153;3;0;0;product_mng;low;1
0,060416667;00.09;5;252;5;0;0;IT;low;1
00.04;00.56;2;149;3;0;0;accounting;low;1
00.09;0,067361111;4;258;5;0;0;accounting;low;1
00.37;00.46;2;158;3;0;0;hr;low;1
00.44;00.54;2;149;3;0;0;hr;low;1
0,059027778;0,065972222;5;236;5;0;0;hr;low;1
0,054166667;0,068055556;5;239;6;0;0;marketing;low;1
00.42;00.47;2;159;3;0;0;marketing;low;1
0,063888889;0,06875;5;255;6;0;0;sales;low;1
00.11;0,057638889;6;244;4;0;0;accounting;low;1
00.42;00.56;2;134;3;0;0;support;low;1
00.48;00.57;4;270;4;0;0;technical;low;1
0,057638889;0,059027778;4;255;5;0;0;management;low;1
00.04;00.53;2;151;3;0;0;marketing;low;1
00.43;00.45;2;135;3;0;0;marketing;low;1
00.43;00.53;2;146;3;0;0;marketing;low;1
00.01;0,067361111;7;254;4;0;0;sales;low;1
00.01;0,060416667;7;289;4;0;0;sales;low;1
00.37;00.46;2;156;3;0;0;sales;low;1
00.38;00.53;2;156;3;0;0;sales;low;1
00.04;00.05;2;128;3;0;0;sales;low;1
0,061805556;0,059722222;5;275;5;0;0;sales;low;1
00.45;00.46;2;155;3;0;0;sales;low;1
00.37;00.48;2;159;3;0;0;sales;low;1
00.46;00.49;2;148;3;0;0;sales;low;1
0,060416667;0,063194444;4;228;5;0;0;sales;low;1
00.11;0,058333333;6;298;4;0;0;sales;low;1
0,054861111;0,060416667;5;261;5;0;0;sales;low;1
0,054861111;0,063888889;5;254;6;0;0;sales;low;1
00.19;00.59;7;192;3;0;0;sales;low;1
0,060416667;0,068055556;4;248;5;0;0;sales;low;1
00.06;0,063888889;2;258;5;0;0;sales;low;1
00.44;00.45;2;156;3;0;0;sales;medium;1
00.11;0,05625;6;266;4;1;0;sales;medium;1
00.42;00.54;2;156;3;0;0;sales;medium;1
0,061111111;0,061111111;5;232;5;1;0;accounting;medium;1
00.11;0,058333333;6;287;4;0;0;accounting;medium;1
00.46;00.46;2;154;3;0;0;accounting;medium;1
0,056944444;0,067361111;5;263;5;0;0;hr;medium;1
00.44;00.56;2;131;3;0;0;hr;medium;1
00.11;0,054166667;6;260;4;0;0;hr;medium;1
00.42;00.05;2;139;3;0;0;hr;medium;1
0,058333333;0,064583333;4;251;5;0;0;technical;medium;1
00.11;0,065972222;6;286;4;0;0;technical;medium;1
00.45;00.53;2;129;3;0;0;technical;high;1
00.38;00.56;2;156;3;0;0;technical;low;1
00.38;0,059722222;6;139;6;0;0;technical;medium;1
00.44;00.51;2;127;3;0;0;technical;medium;1
00.11;0,058333333;6;251;4;0;0;technical;medium;1
0,05625;0,064583333;5;270;5;0;0;technical;medium;1
00.09;0,066666667;6;296;4;0;0;technical;low;1
00.11;00.09;6;254;4;0;0;technical;low;1
0,05625;0,065972222;5;238;6;0;0;technical;low;1
00.01;0,067361111;6;267;4;1;0;support;low;1
0,051388889;0,061805556;5;229;6;0;0;support;low;1
00.09;0,054166667;6;254;4;0;0;support;low;1
0,056944444;0,05625;4;233;4;1;0;support;low;1
00.01;0,068055556;6;268;4;0;0;support;low;1
00.27;00.56;3;301;3;0;0;support;low;1
0,057638889;0,063888889;5;267;6;0;0;support;low;1
00.01;0,064583333;6;289;4;1;0;support;low;1
00.38;00.47;2;144;3;0;0;support;low;1
00.04;00.56;2;148;3;0;0;support;low;1
00.11;0,057638889;6;306;4;0;0;support;low;1
00.11;0,054861111;6;292;4;0;1;technical;low;1
0,056944444;0,063194444;5;232;5;0;0;technical;low;1
00.36;00.48;2;137;3;0;0;technical;low;1
00.04;00.46;2;128;3;0;0;management;low;1
0,060416667;0,058333333;5;231;5;0;0;IT;low;1
00.41;00.49;2;146;3;0;0;IT;low;1
00.11;0,063194444;6;308;4;1;0;IT;low;1
00.01;0,064583333;6;253;4;0;0;IT;medium;1
00.38;00.51;2;146;3;0;0;IT;medium;1
00.39;00.55;2;156;3;0;0;product_mng;medium;1
00.04;00.52;2;147;3;0;0;product_mng;medium;1
00.45;00.48;2;136;3;0;0;product_mng;medium;1
0,051388889;0,058333333;5;249;5;0;0;product_mng;medium;1
00.45;00.55;2;151;3;0;0;IT;medium;1
00.12;1;3;278;4;0;0;RandD;medium;1
00.01;0,053472222;7;250;5;0;0;RandD;medium;1
00.37;00.55;2;127;3;0;0;RandD;medium;1
0,061805556;0,060416667;5;255;5;0;0;RandD;medium;1
00.45;00.47;2;135;3;0;0;RandD;medium;1
00.37;00.46;2;149;3;0;0;marketing;high;1
00.11;0,05625;5;287;4;0;0;sales;low;1
00.41;00.48;2;145;3;0;0;accounting;medium;1
00.01;0,065277778;6;285;4;0;0;support;medium;1
00.01;0,064583333;7;305;4;0;0;technical;medium;1
00.11;0,065972222;7;300;4;0;0;management;medium;1
00.04;00.54;2;139;3;0;0;marketing;low;1
00.41;00.49;2;130;3;0;0;marketing;low;1
00.01;0,05625;6;268;4;0;0;marketing;low;1
0,050694444;0,059722222;4;245;6;0;0;sales;low;1
00.43;00.47;2;135;3;0;0;sales;low;1
00.37;00.46;2;153;3;0;0;sales;low;1
00.11;0,065277778;6;276;4;0;0;sales;low;1
00.04;00.46;2;130;3;0;0;sales;low;1
00.41;00.54;2;153;3;1;0;sales;low;1
0,056944444;0,058333333;5;244;5;0;0;sales;low;1
0,042361111;00.47;2;253;3;0;0;sales;low;1
00.11;0,063194444;7;287;4;0;0;sales;low;1
00.37;00.45;2;131;3;0;0;sales;low;1
00.41;00.52;2;135;3;0;0;sales;low;1
00.37;00.52;2;157;3;0;0;sales;low;1
0,061111111;0,06875;5;262;6;0;0;sales;low;1
00.01;0,059027778;6;266;4;0;0;sales;low;1
00.44;00.48;2;148;3;0;0;sales;low;1
00.38;00.57;2;140;3;0;0;sales;low;1
00.11;0,059027778;7;302;4;0;0;sales;low;1
00.09;0,068055556;6;271;4;0;0;sales;low;1
00.45;00.52;2;145;3;0;0;sales;medium;1
00.01;0,05625;6;290;4;0;0;accounting;medium;1
00.45;00.47;2;151;3;0;0;accounting;medium;1
0,053472222;0,060416667;5;266;5;0;0;accounting;medium;1
00.44;00.51;2;140;3;0;0;hr;medium;1
00.39;00.05;2;142;3;0;0;hr;medium;1
00.01;0,063194444;6;246;4;0;0;hr;medium;1
00.09;0,061805556;7;308;5;0;0;hr;medium;1
00.37;00.47;2;141;3;0;0;technical;medium;1
00.09;1;5;232;5;0;0;technical;medium;1
00.41;00.56;2;143;3;0;0;technical;medium;1
00.37;00.52;2;155;3;0;0;technical;medium;1
00.01;0,059722222;6;278;4;0;0;technical;high;1
0,05625;1;4;253;5;0;0;technical;low;1
00.11;00.08;6;282;4;0;0;technical;medium;1
00.11;0,058333333;7;264;4;0;0;technical;medium;1
00.04;00.46;2;149;3;0;0;technical;medium;1
00.09;00.08;6;304;5;0;0;technical;medium;1
00.48;0,064583333;3;219;6;0;0;technical;low;1
0,063194444;0,063194444;4;262;6;0;0;support;low;1
00.43;00.57;2;135;3;0;0;support;low;1
00.33;0,061111111;6;219;5;0;0;support;low;1
00.41;00.57;2;136;3;0;0;support;low;1
00.41;00.55;2;154;3;0;0;support;low;1
00.37;00.54;2;149;3;0;0;support;low;1
00.31;0,043055556;6;135;5;0;0;support;low;1
00.09;0,063194444;6;275;4;0;0;support;low;1
00.01;0,060416667;6;290;4;0;0;support;low;1
0,052777778;00.09;4;263;5;0;0;support;low;1
00.41;00.54;2;145;3;0;0;support;low;1
0,05;0,066666667;5;267;5;0;0;technical;low;1
00.04;00.05;2;141;3;1;0;technical;low;1
0,063194444;0,060416667;4;235;5;0;0;technical;low;1
00.01;0,057638889;6;258;4;0;0;management;low;1
00.04;00.56;2;131;3;0;0;IT;low;1
0,056944444;0,059722222;5;243;5;0;0;IT;low;1
00.01;0,056944444;6;266;4;0;0;IT;low;1
00.37;00.45;2;142;3;0;0;IT;low;1
00.36;00.51;2;135;3;0;0;IT;low;1
00.39;00.48;2;141;3;0;0;product_mng;medium;1
00.36;00.57;2;142;3;0;0;product_mng;medium;1
0,059722222;0,058333333;5;254;5;0;0;product_mng;medium;1
0,050694444;0,06875;5;262;5;0;0;product_mng;medium;1
